Company,date,Revenue,EBITDA,Net_income,Sector
TD,2020-07-31,10665000000.0,2868000000.0,3277000000.0,Financial_Services
TD,2020-04-30,10528000000.0,2027000000.0,1515000000.0,Financial_Services
TD,2020-01-31,10609000000.0,3936000000.0,2989000000.0,Financial_Services
TGT,2021-01-30,28339000000.0,2473000000.0,1380000000.0,Consumer_Defensive
TGT,2020-10-31,22632000000.0,2538000000.0,1014000000.0,Consumer_Defensive
TGT,2020-08-01,22975000000.0,2904000000.0,1380000000.0,Consumer_Defensive
TGT,2020-05-02,19615000000.0,1109000000.0,284000000.0,Consumer_Defensive
TGT,2020-02-01,23399000000.0,1897000000.0,834000000.0,Consumer_Defensive
UL,2020-12-31,12505000000.0,2657500000.0,1148500000.0,Consumer_Defensive
UL,2020-06-30,12857000000.0,3030500000.0,1642000000.0,Consumer_Defensive
UL,2010-06-30,11752000000.0,11991000000.0,1148500000.0,Consumer_Defensive
UL,2009-06-30,10458000000.0,10694000000.0,758000000.0,Consumer_Defensive
UL,2008-06-30,10374000000.0,10607000000.0,909000000.0,Consumer_Defensive
UPWK,2020-12-31,106153000.0,2728656.0,925.0,Industrials
UPWK,2020-09-30,96748000.0,-371000.0,-2747000.0,Industrials
UPWK,2020-06-30,87531000.0,-8506000.0,925.0,Industrials
UPWK,2020-03-31,83196000.0,-6743000.0,-10021000.0,Industrials
UPWK,2019-12-31,78596000.0,-6289000.0,-7077000.0,Industrials
VFC,2020-12-26,2971541000.0,616579000.0,347240000.0,Consumer_Cyclical
VFC,2020-09-26,2608324000.0,395775000.0,256722000.0,Consumer_Cyclical
VFC,2020-06-27,1076293000.0,-183783000.0,347240000.0,Consumer_Cyclical
VFC,2020-03-28,1439063000.0,-361829000.0,-483776000.0,Consumer_Cyclical
VFC,2019-12-28,3384746000.0,437071000.0,465003000.0,Consumer_Cyclical
VRTX,2020-12-31,1627820000.0,762547000.0,604190000.0,Healthcare
VRTX,2020-09-30,1538271000.0,700683000.0,667434000.0,Healthcare
VRTX,2020-06-30,1524485000.0,753930000.0,604190000.0,Healthcare
VRTX,2020-03-31,1515107000.0,748645000.0,602753000.0,Healthcare
VRTX,2019-12-31,1413265000.0,579221000.0,583234000.0,Healthcare
VZ,2020-12-31,34692000000.0,11377000000.0,5135000000.0,Communication_Services
VZ,2020-09-30,31543000000.0,11870000000.0,4357000000.0,Communication_Services
VZ,2020-06-30,30447000000.0,11542000000.0,5135000000.0,Communication_Services
VZ,2020-03-31,31610000000.0,10729000000.0,4156000000.0,Communication_Services
VZ,2019-12-31,34775000000.0,10836000000.0,5095000000.0,Communication_Services
WBA,2021-02-28,32779000000.0,1225000000.0,1026000000.0,Healthcare
WBA,2020-11-30,36307000000.0,1407000000.0,-308000000.0,Healthcare
WBA,2020-08-31,34746000000.0,593480000.0,1026000000.0,Healthcare
WBA,2020-05-31,34631000000.0,-1349000000.0,-1708000000.0,Healthcare
WBA,2020-02-29,35820000000.0,1697000000.0,946000000.0,Healthcare
WSFS,2020-12-31,169633000.0,0.0,59813000.0,Financial_Services
WSFS,2020-09-30,162219000.0,9073963.0,51145000.0,Financial_Services
WSFS,2020-06-30,178131000.0,0.0,59813000.0,Financial_Services
WSFS,2020-03-31,156997000.0,0.0,10927000.0,Financial_Services
WSFS,2019-12-31,159339000.0,0.0,45704000.0,Financial_Services
WSM,2021-01-31,2292673000.0,450402000.0,308955000.0,Consumer_Cyclical
WSM,2020-11-01,1764536000.0,414944000.0,269260000.0,Consumer_Cyclical
WSM,2020-08-02,1490777000.0,232257000.0,308955000.0,Consumer_Cyclical
WSM,2020-05-03,1235203000.0,94869000.0,35423000.0,Consumer_Cyclical
WSM,2020-02-02,1843590000.0,250950000.0,166045000.0,Consumer_Cyclical
